"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.23285482965639,0.914,0.343,0,"HSC/MPP","SPINK2"
0,1.10456751330252,0.933,0.441,0,"HSC/MPP","RNF220"
0,0.995403120526426,0.808,0.405,0,"HSC/MPP","AL589693.1"
0,0.962212661156922,0.912,0.411,0,"HSC/MPP","ATP8B4"
0,0.887255923482455,0.774,0.265,0,"HSC/MPP","CALN1"
0,0.866971494725978,0.669,0.288,0,"HSC/MPP","AC002454.1"
0,0.844331895354538,0.911,0.566,0,"HSC/MPP","TAOK3"
0,0.794392092092724,0.708,0.206,0,"HSC/MPP","CSF3R"
0,0.719336001180695,0.731,0.366,0,"HSC/MPP","FAM30A"
0,0.677155187027292,0.97,0.77,0,"HSC/MPP","CDK6"
0,0.677045714065278,0.909,0.593,0,"HSC/MPP","PLCB1"
0,0.646819601164812,0.797,0.518,0,"HSC/MPP","KCNQ5"
0,0.626614653497353,0.65,0.218,0,"HSC/MPP","SMIM24"
0,0.612142362959675,0.694,0.278,0,"HSC/MPP","MSRB3"
0,0.6036779421216,0.947,0.788,0,"HSC/MPP","ETV6"
0,0.601866040802994,0.729,0.311,0,"HSC/MPP","NKAIN2"
0,0.573782951757752,0.636,0.302,0,"HSC/MPP","FLT3"
0,0.563839076690724,0.947,0.728,0,"HSC/MPP","CHST11"
0,0.545639288952144,0.931,0.67,0,"HSC/MPP","MSI2"
0,0.545224832094446,0.45,0.139,0,"HSC/MPP","LNCAROD"
0,0.541974211319121,0.578,0.254,0,"HSC/MPP","CCSER1"
0,0.531966612883666,0.843,0.574,0,"HSC/MPP","GYPC"
0,0.521341915489763,0.522,0.185,0,"HSC/MPP","ANGPT1"
0,0.52099056984673,0.511,0.136,0,"HSC/MPP","HOPX"
0,0.514789047018959,0.762,0.446,0,"HSC/MPP","LRMDA"
0,0.513423817920869,0.507,0.187,0,"HSC/MPP","C1QTNF4"
0,0.497583708176395,0.501,0.167,0,"HSC/MPP","DANT2"
0,0.486203546388078,0.449,0.125,0,"HSC/MPP","PROM1"
0,0.483195017632972,0.996,0.919,0,"HSC/MPP","GAS5"
0,0.441861889264289,0.561,0.248,0,"HSC/MPP","SELL"
0,0.439103246945542,0.906,0.708,0,"HSC/MPP","RUNX1"
0,0.438413968761056,0.536,0.221,0,"HSC/MPP","ICAM3"
0,0.427989066058266,0.891,0.6,0,"HSC/MPP","AIF1"
0,0.423224025672852,0.99,0.907,0,"HSC/MPP","NAP1L1"
0,0.414580147743502,0.61,0.347,0,"HSC/MPP","PIK3R1"
0,0.406045286133439,0.434,0.144,0,"HSC/MPP","PRAM1"
0,0.403965857638882,0.88,0.685,0,"HSC/MPP","ENO1"
0,0.398339193911578,0.388,0.135,0,"HSC/MPP","RHEX"
0,0.370082191466939,1,1,0,"HSC/MPP","RPL3"
0,0.366175036980903,0.995,0.954,0,"HSC/MPP","HINT1"
0,0.35994219402964,0.469,0.187,0,"HSC/MPP","CHRM3"
0,0.356790439588991,0.505,0.259,0,"HSC/MPP","TNRC18"
0,0.355730788775985,0.982,0.894,0,"HSC/MPP","ZFAS1"
0,0.355009438477488,0.283,0.088,0,"HSC/MPP","CACNB2"
0,0.339182394766173,1,0.999,0,"HSC/MPP","RPS3"
0,0.335524869184904,0.486,0.215,0,"HSC/MPP","INPP4B"
0,0.323342042711167,0.544,0.259,0,"HSC/MPP","MEIS1"
0,0.323063566417477,1,0.995,0,"HSC/MPP","RPL5"
0,0.321860815124356,1,0.999,0,"HSC/MPP","RPS4X"
0,0.320637828419141,0.335,0.123,0,"HSC/MPP","DOCK1"
0,0.306099916933049,0.333,0.102,0,"HSC/MPP","NPDC1"
0,0.304675227422303,1,1,0,"HSC/MPP","RPS2"
0,0.300376735905213,0.473,0.237,0,"HSC/MPP","CD34"
0,0.282426148177082,1,0.996,0,"HSC/MPP","RPL29"
0,0.278895654089421,0.311,0.11,0,"HSC/MPP","RBPMS"
0,0.263058053253276,1,1,0,"HSC/MPP","RPL18A"
0,0.258945157405183,1,0.998,0,"HSC/MPP","RPL10A"
0,-0.563207960422365,0.672,0.807,0,"HSC/MPP","MYL6"
0,-0.639764885409996,0.757,0.893,0,"HSC/MPP","OAZ1"
0,-0.65799437741537,0.999,0.999,0,"HSC/MPP","PTMA"
0,-0.665303935616936,0.907,0.945,0,"HSC/MPP","ACTB"
0,-0.686082746211046,0.013,0.255,0,"HSC/MPP","CD79A"
0,-0.727747745293445,0.102,0.372,0,"HSC/MPP","CXCR4"
0,-0.758390158719345,0.032,0.25,0,"HSC/MPP","LINC01374"
0,-0.903549037942473,0.021,0.256,0,"HSC/MPP","MME"
0,-0.92403470673069,0.009,0.208,0,"HSC/MPP","ARPP21"
0,-1.07598232910852,0.912,0.964,0,"HSC/MPP","TMSB10"
